phase	user	reply	failed	event	phase'	user'	reply'	failed'
idle	none	incomplete	0	finish:saved	idle	none	incomplete	0
idle	none	incomplete	0	finish:saved_failed	idle	none	incomplete	0
idle	none	incomplete	0	finish:unconfirmed	idle	none	incomplete	0
idle	none	incomplete	0	finish:discarded	idle	none	incomplete	0
idle	none	incomplete	1	submit	sending	sending	absent	0
idle	none	incomplete	1	delivered	idle	none	incomplete	1
idle	none	incomplete	1	cli:thinking	idle	none	incomplete	1
idle	none	incomplete	1	cli:text	idle	none	incomplete	1
idle	none	incomplete	1	cli:tool_start	idle	none	incomplete	1
idle	none	incomplete	1	cli:tool_end	idle	none	incomplete	1
idle	none	incomplete	1	cli:approval	idle	none	incomplete	1
idle	none	incomplete	1	cli:info	idle	none	incomplete	1
idle	none	incomplete	1	cli:error	idle	none	incomplete	1
idle	none	incomplete	1	cli:turn_end_ok	idle	none	incomplete	1
idle	none	incomplete	1	cli:turn_end_fail	idle	none	incomplete	1
idle	none	incomplete	1	finish:saved	idle	none	incomplete	1
idle	none	incomplete	1	finish:saved_failed	idle	none	incomplete	1
idle	none	incomplete	1	finish:unconfirmed	idle	none	incomplete	1
idle	none	incomplete	1	finish:discarded	idle	none	incomplete	1
idle	saved	absent	0	submit	sending	sending	absent	0
idle	saved	absent	0	delivered	idle	saved	absent	0
idle	saved	absent	0	cli:thinking	idle	saved	absent	0
idle	saved	absent	0	cli:text	idle	saved	absent	0
idle	saved	absent	0	cli:tool_start	idle	saved	absent	0
idle	saved	absent	0	cli:tool_end	idle	saved	absent	0
idle	saved	absent	0	cli:approval	idle	saved	absent	0
idle	saved	absent	0	cli:info	idle	saved	absent	0
idle	saved	absent	0	cli:error	idle	saved	absent	0
idle	saved	absent	0	cli:turn_end_ok	idle	saved	absent	0
idle	saved	absent	0	cli:turn_end_fail	idle	saved	absent	0
idle	saved	absent	0	finish:saved	idle	saved	absent	0
idle	saved	absent	0	finish:saved_failed	idle	saved	absent	0
idle	saved	absent	0	finish:unconfirmed	idle	saved	absent	0
idle	saved	absent	0	finish:discarded	idle	saved	absent	0
idle	saved	absent	1	submit	sending	sending	absent	0
idle	saved	absent	1	delivered	idle	saved	absent	1
idle	saved	absent	1	cli:thinking	idle	saved	absent	1
idle	saved	absent	1	cli:text	idle	saved	absent	1
idle	saved	absent	1	cli:tool_start	idle	saved	absent	1
idle	saved	absent	1	cli:tool_end	idle	saved	absent	1
idle	saved	absent	1	cli:approval	idle	saved	absent	1
idle	saved	absent	1	cli:info	idle	saved	absent	1
idle	saved	absent	1	cli:error	idle	saved	absent	1
idle	saved	absent	1	cli:turn_end_ok	idle	saved	absent	1
idle	saved	absent	1	cli:turn_end_fail	idle	saved	absent	1
idle	saved	absent	1	finish:saved	idle	saved	absent	1
idle	saved	absent	1	finish:saved_failed	idle	saved	absent	1
idle	saved	absent	1	finish:unconfirmed	idle	saved	absent	1
idle	saved	absent	1	finish:discarded	idle	saved	absent	1
idle	saved	done	0	submit	sending	sending	absent	0
idle	saved	done	0	delivered	idle	saved	done	0
idle	saved	done	0	cli:thinking	idle	saved	done	0
idle	saved	done	0	cli:text	idle	saved	done	0
idle	saved	done	0	cli:tool_start	idle	saved	done	0
idle	saved	done	0	cli:tool_end	idle	saved	done	0
idle	saved	done	0	cli:approval	idle	saved	done	0
idle	saved	done	0	cli:info	idle	saved	done	0
idle	saved	done	0	cli:error	idle	saved	done	0
idle	saved	done	0	cli:turn_end_ok	idle	saved	done	0
idle	saved	done	0	cli:turn_end_fail	idle	saved	done	0
idle	saved	done	0	finish:saved	idle	saved	done	0
idle	saved	done	0	finish:saved_failed	idle	saved	done	0
idle	saved	done	0	finish:unconfirmed	idle	saved	done	0
idle	saved	done	0	finish:discarded	idle	saved	done	0
idle	saved	done	1	submit	sending	sending	absent	0
idle	saved	done	1	delivered	idle	saved	done	1
idle	saved	done	1	cli:thinking	idle	saved	done	1
idle	saved	done	1	cli:text	idle	saved	done	1
idle	saved	done	1	cli:tool_start	idle	saved	done	1
idle	saved	done	1	cli:tool_end	idle	saved	done	1
idle	saved	done	1	cli:approval	idle	saved	done	1
idle	saved	done	1	cli:info	idle	saved	done	1
idle	saved	done	1	cli:error	idle	saved	done	1
idle	saved	done	1	cli:turn_end_ok	idle	saved	done	1
idle	saved	done	1	cli:turn_end_fail	idle	saved	done	1
idle	saved	done	1	finish:saved	idle	saved	done	1
idle	saved	done	1	finish:saved_failed	idle	saved	done	1
idle	saved	done	1	finish:unconfirmed	idle	saved	done	1
idle	saved	done	1	finish:discarded	idle	saved	done	1
idle	saved	stopped	0	submit	sending	sending	absent	0
idle	saved	stopped	0	delivered	idle	saved	stopped	0
idle	saved	stopped	0	cli:thinking	idle	saved	stopped	0
idle	saved	stopped	0	cli:text	idle	saved	stopped	0
idle	saved	stopped	0	cli:tool_start	idle	saved	stopped	0
idle	saved	stopped	0	cli:tool_end	idle	saved	stopped	0
idle	saved	stopped	0	cli:approval	idle	saved	stopped	0
idle	saved	stopped	0	cli:info	idle	saved	stopped	0
idle	saved	stopped	0	cli:error	idle	saved	stopped	0
idle	saved	stopped	0	cli:turn_end_ok	idle	saved	stopped	0
idle	saved	stopped	0	cli:turn_end_fail	idle	saved	stopped	0
idle	saved	stopped	0	finish:saved	idle	saved	stopped	0
idle	saved	stopped	0	finish:saved_failed	idle	saved	stopped	0
idle	saved	stopped	0	finish:unconfirmed	idle	saved	stopped	0
idle	saved	stopped	0	finish:discarded	idle	saved	stopped	0
idle	saved	stopped	1	submit	sending	sending	absent	0
idle	saved	stopped	1	delivered	idle	saved	stopped	1
idle	saved	stopped	1	cli:thinking	idle	saved	stopped	1
idle	saved	stopped	1	cli:text	idle	saved	stopped	1
idle	saved	stopped	1	cli:tool_start	idle	saved	stopped	1
idle	saved	stopped	1	cli:tool_end	idle	saved	stopped	1
idle	saved	stopped	1	cli:approval	idle	saved	stopped	1
idle	saved	stopped	1	cli:info	idle	saved	stopped	1
idle	saved	stopped	1	cli:error	idle	saved	stopped	1
idle	saved	stopped	1	cli:turn_end_ok	idle	saved	stopped	1
idle	saved	stopped	1	cli:turn_end_fail	idle	saved	stopped	1
idle	saved	stopped	1	finish:saved	idle	saved	stopped	1
idle	saved	stopped	1	finish:saved_failed	idle	saved	stopped	1
idle	saved	stopped	1	finish:unconfirmed	idle	saved	stopped	1
idle	saved	stopped	1	finish:discarded	idle	saved	stopped	1
idle	saved	incomplete	0	submit	sending	sending	absent	0
idle	saved	incomplete	0	delivered	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:thinking	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:text	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:tool_start	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:tool_end	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:approval	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:info	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:error	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:turn_end_ok	idle	saved	incomplete	0
idle	saved	incomplete	0	cli:turn_end_fail	idle	saved	incomplete	0
idle	saved	incomplete	0	finish:saved	idle	saved	incomplete	0
idle	saved	incomplete	0	finish:saved_failed	idle	saved	incomplete	0
idle	saved	incomplete	0	finish:unconfirmed	idle	saved	incomplete	0
idle	saved	incomplete	0	finish:discarded	idle	saved	incomplete	0
idle	saved	incomplete	1	submit	sending	sending	absent	0
idle	saved	incomplete	1	delivered	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:thinking	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:text	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:tool_start	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:tool_end	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:approval	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:info	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:error	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:turn_end_ok	idle	saved	incomplete	1
idle	saved	incomplete	1	cli:turn_end_fail	idle	saved	incomplete	1
idle	saved	incomplete	1	finish:saved	idle	saved	incomplete	1
idle	saved	incomplete	1	finish:saved_failed	idle	saved	incomplete	1
idle	saved	incomplete	1	finish:unconfirmed	idle	saved	incomplete	1
idle	saved	incomplete	1	finish:discarded	idle	saved	incomplete	1
idle	unconfirmed	absent	0	submit	sending	sending	absent	0
idle	unconfirmed	absent	0	delivered	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:thinking	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:text	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:tool_start	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:tool_end	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:approval	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:info	idle	unconfirmed	absent	0
idle	unconfirmed	absent	0	cli:error	idle	unconfirmed	absent	0
